Question,Proposition 1,Proposition 2,Proposition 3,Proposition 4,Réponse
Combien font 7 x 3 ?,21,24,18,27,21
Quel est le pluriel de 'cheval' ?,chevals,chevaux,chevaus,chevauxs,chevaux
Comment s'appelle la planète bleue ?,Mars,Jupiter,Terre,Vénus,Terre
Quelle est la capitale de la France ?,Londres,Paris,Berlin,Madrid,Paris
Quel est le nom du petit du chat ?,Chaton,Chien,Veau,Poussin,Chaton
Combien de côtés a un triangle ?,3,4,5,6,3
Combien font 12 + 8 ?,18,19,20,21,20
Quel est le féminin de 'acteur' ?,Actrice,Acteurs,Acteur,Actrisse,Actrice
Quel est le plus grand fleuve de France ?,Loire,Rhône,Seine,Garonne,Loire
Comment s'appelle la maison de l'escargot ?,Carapace,Coquille,Niche,Grotte,Coquille
Quel est le produit de 6 x 5 ?,25,30,35,40,30
Qelle est la forme géométrique avec trois côtés ?,Carré,Rectangle,Triangle,Cercle,Triangle
Quel animal rugit ?,Lion,Chat,Oiseau,Lapin,Lion
Quel est le nom de la capitale de l'Angleterre ?,Londres,Paris,Rome,Madrid,Londres
Combien de côtés a un carré ?,4,3,5,6,4
Quel est le nom du plus grand océan du monde ?,Atlantique,Indien,Pacifique,Arctique,Pacifique
Quel est l'intrus :,Banane,Pomme,Chocolat,Poire,Chocolat
Quel est l'animal qui a des écailles ?,Serpent,Dauphin,Poisson,Chien,Poisson
Comment s'appelle l'instrument à vent qui fait 'flûte' ?,Guitare,Trompette,Flûte,Piano,Flûte
Quelle est la saison avant l'été ?,Printemps,Automne,Hiver,Été,Printemps
Quel est le contraire de 'haut' ?,Bas,Petit,Large,Fin,Bas
Combien de couleurs dans un arc-en-ciel ?,6,7,8,9,7
Quel est le nombre avant 100 ?,99,101,102,105,99
Quelle est la langue officielle du Canada ?,Français,Anglais,Espagnol,Allemand,Français
Quel est l'animal qui vit dans la savane ?,Lion,Ours,Loup,Lapin,Lion
Combien de dents a un adulte ?,28,30,32,34,32
Qui a écrit 'Les Trois Mousquetaires' ?,Victor Hugo,Alexandre Dumas,Jules Verne,Molière,Alexandre Dumas
Quel est l'instrument de musique à cordes ?,Guitare,Piano,Flûte,Trompette,Guitare
Combien de jours dans un mois de juillet ?,30,31,28,29,31
Quelle est la capitale de l'Allemagne ?,Berlin,Paris,Rome,Londres,Berlin
