Question,Proposition 1,Proposition 2,Proposition 3,Proposition 4,Réponse
Combien font 45 ÷ 5 ?,9,8,7,10,9
Quel est le passé simple du verbe 'manger' ?,mangai,mangeai,mangeas,mangeat,mangeai
Qui a peint la Joconde ?,Picasso,Léonard de Vinci,Van Gogh,Monet,Léonard de Vinci
Quelle est la plus grande mer du monde ?,Mer Noire,Mer Méditerranée,Mer des Caraïbes,Mer Caspienne,Mer Méditerranée
Combien de continents existe-t-il ?,5,6,7,8,7
Quelle est l'unité de mesure des longueurs ?,Kilogramme,Litre,Mètre,Seconde,Mètre
Combien font 144 ÷ 12 ?,10,11,12,13,12
Qui a écrit 'Les Fables' ?,Molière,Jean de La Fontaine,Victor Hugo,Antoine de Saint-Exupéry,Jean de La Fontaine
Quel est le pays de la Tour Eiffel ?,Allemagne,France,Espagne,Italie,France
Comment s'appelle l'organe qui pompe le sang dans le corps ?,Poumons,Cœur,Estomac,Foie,Cœur
Quelle est la capitale de l'Espagne ?,Madrid,Barcelone,Lisbonne,Rome,Madrid
Quel est l'impératif du verbe 'venir' à la deuxième personne du singulier ?,Viens,Venez,Venons,Vient,Viens
Combien font 18 + 24 ?,42,43,44,45,42
Quel est le superlatif de 'bon' ?,Meilleur,Très bon,Plus bon,Bon,Meilleur
Quel est l'animal qui vit dans les arbres ?,Singe,Chat,Ours,Poisson,Singe
Quelle est la troisieme lettre de l'alphabet ?,A,C,U,K,C
Quel est le féminin de 'prince' ?,Princesse,Prince,Princette,Princess,Princesse
Combien de continents parle-t-on en français ?,4,5,6,7,5
Quel est l'intrus : étang,rivière,fleuve,montagne ?,Étang,Rivière,Fleuve,Montagne,Montagne
Quel est le produit de 6 x 9 ?,54,53,55,56,54
Quel est l'auteur de 'Les Misérables' ?,Victor Hugo,Molière,Zola,Flaubert,Victor Hugo
Quel est le nom de la capitale du Japon ?,Beijing,Séoul,Tokyo,Bangkok,Tokyo
Combien de semaines y a-t-il dans une année ?,52,53,54,51,52
Quel est le symbole chimique du fer ?,Fe,F,Fe2,Fe3,Fe
Combien de joueurs sont dans une équipe de basket ?,5,6,7,8,5
Quel est l'instrument à vent qui est souvent utilisé dans les fanfares ?,Trompette,Flûte,Piano,Harpe,Trompette
Qui a écrit 'Le Comte de Monte-Cristo' ?,Alexandre Dumas,Victor Hugo,Emile Zola,Maupassant,Alexandre Dumas
Combien de pattes a une araignée ?,4,6,8,10,8
Quel est le nom du héros de 'Robin des bois' ?,Robin,Arthur,Ulysse,Lancelot,Robin
Quel est l'animal qui vit dans un terrier ?,Souris,Loup,Lion,Serpent,Souris
