Question,Proposition 1,Proposition 2,Proposition 3,Proposition 4,Réponse
Combien de côtés a un hexagone ?,5,6,7,8,6
Quelle est la planète la plus proche du Soleil ?,Terre,Mercure,Mars,Vénus,Mercure
Quel est le participe passé du verbe 'voir' ?,Vu,Vue,Voit,Voyé,Vu
Qui a écrit *L'Iliade* et *L'Odyssée* ?,Homère,Virgile,Platon,Aristote,Homère
Quel est l'intrus : "carré, triangle, cercle, cube" ?,Carré,Triangle,Cercle,Cube,Cube
Quelle est l'unité de mesure de la masse dans le système international ?,Kilogramme,Mètre,Litre,Gramme,Kilogramme
Combien font 12 x 8 ?,96,84,100,88,96
Quelle est la langue officielle de l'Espagne ?,Anglais,Portugais,Espagnol,Italien,Espagnol
Quel est le symbole chimique de l'eau ?,H2O,CO2,O2,HO2,H2O
Quelle est la capitale de l'Italie ?,Rome,Madrid,Berlin,Athènes,Rome
Quelle partie de la cellule contient l'ADN ?,Noyau,Membrane,Cytoplasme,Ribosome,Noyau
Quel est le féminin de 'maître' ?,Maîtresse,Maître,Maîtra,Maîtrice,Maîtresse
Quelle est la valeur de π (Pi) approximativement ?,"3,14","3,41","2,72","3,31","3,14"
Qui a découvert la gravitation universelle ?,Newton,Einstein,Galilée,Kepler,Newton
Quelle est la langue officielle du Brésil ?,Portugais,Espagnol,Français,Anglais,Portugais
Combien de jours contient une année bissextile ?,365,366,364,367,366
Qui a peint *La Joconde* ?,Léonard de Vinci,Michel-Ange,Picasso,Monet,Léonard de Vinci
Quel est le rôle des racines d'une plante ?,Absorber l'eau,Faire des fruits,Protéger,Capturer des proies,Absorber l'eau
Quel est le temps utilisé pour parler d'une action future ?,Futur,Passé composé,Imparfait,Présent,Futur
Quelle est la distance approximative entre la Terre et le Soleil ?,150 millions de km,1 million de km,100 millions de km,200 millions de km,150 millions de km
Quel est le plus grand océan du monde ?,Pacifique,Atlantique,Indien,Arctique,Pacifique
Quelle est la fonction grammaticale du mot souligné : 'Paul mange **une pomme**.' ?,Sujet,Complément d'objet direct,Attribut,Adjectif,Complément d'objet direct
Quel est le métal contenu dans une pièce de 1 euro ?,Cuivre,Fer,Or,Nickel,Nickel
Quel gaz les plantes absorbent-elles pour la photosynthèse ?,Oxygène,Dioxyde de carbone,Azote,Méthane,Dioxyde de carbone
Quelle est la période historique entre -3000 et 476 ?,Antiquité,Moyen Âge,Renaissance,Préhistoire,Antiquité
Quel est l'impératif du verbe 'aller' à la deuxième personne du singulier ?,Va,Vais,Allez,Allons,Va
Quelle est la racine carrée de 64 ?,6,7,8,9,8
Quel est l'article défini pour un mot masculin singulier ?,Le,La,Les,Un,Le
Combien y a-t-il de continents sur Terre ?,5,6,7,8,7
Quel est le plus haut sommet de la Terre ?,K2,Mont Everest,Mont Fuji,Kilimandjaro,Mont Everest
