Question,Proposition 1,Proposition 2,Proposition 3,Proposition 4,Réponse
Combien font 1 + 1 ?,1,2,3,4,2
Quel est le premier jour de la semaine ?,Lundi,Mardi,Mercredi,Dimanche,Lundi
Quelle couleur a un citron ?,Jaune,Vert,Rouge,Bleu,Jaune
Quel animal aboie ?,Chat,Chien,Oiseau,Poisson,Chien
Combien y a-t-il de doigts sur une main ?,4,5,6,7,5
Que mange une vache ?,Herbe,Viande,Pain,Fruits,Herbe
Quelle forme a une balle ?,Carré,Rond,Triangle,Rectangle,Rond
Quelle est la couleur du ciel en journée ?,Bleu,Rouge,Noir,Blanc,Bleu
Quel est le contraire de 'jour' ?,Nuit,Sombre,Tard,Matin,Nuit
Quel fruit a des pépins ?,Pomme,Banane,Fraise,Cerise,Pomme
Quel est le bébé du chat ?,Chaton,Chiot,Veau,Agneau,Chaton
Combien font 3 - 1 ?,1,2,3,4,2
Quelle partie du corps sert à entendre ?,Les oreilles,Les yeux,Le nez,Les mains,Les oreilles
Quel animal vit dans l'eau ?,Poisson,Chien,Chat,Oiseau,Poisson
Quelle est la couleur d'une carotte ?,Orange,Jaune,Rouge,Vert,Orange
Quelle lettre est après 'A' ?,B,C,D,E,B
Quel est le contraire de 'grand' ?,Petit,Haut,Large,Court,Petit
Quel est l'intrus : table,chaise,voiture,armoire ?,Table,Chaise,Voiture,Armoire,Voiture
Que boit une chèvre ?,Eau,Lait,Jus,Thé,Eau
Quelle saison vient après l'été ?,Automne,Hiver,Printemps,Été,Automne
Quelle est la forme d'un œuf ?,Oval,Rond,Carré,Rectangle,Oval
Quel est l'animal qui pond des œufs ?,Poule,Chat,Chien,Cheval,Poule
Combien de roues a un vélo ?,1,2,3,4,2
Quel est le son du coq ?,Cocorico,Meuh,Miaou,Ouaf,Cocorico
Quelle est la couleur d'une tomate mûre ?,Rouge,Jaune,Verte,Bleue,Rouge
Combien font 4 + 2 ?,5,6,7,8,6
Quel est le premier chiffre ?,0,1,2,3,1
Quel est l'intrus : pomme,banane,table,fraise ?,Pomme,Banane,Table,Fraise,Table
Quel est le bruit d'une vache ?,Meuh,Bê,Cocorico,Miaou,Meuh
Quelle partie du corps sert à marcher ?,Pieds,Mains,Tête,Bras,Pieds
